Sequence_ID,Predicted_Taxonomy,Novelty_Score,Status,Nearest_Neighbor_Taxonomy,Nearest_Neighbor_Dist
contig_103085_330_1004_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1351,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1331
contig_103133_337_971_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1215,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1186
contig_103167_976_1827_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1214,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1188
contig_103196_236_736_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1322,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1299
contig_103227_114_1600_+,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1332,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1317
contig_103235_40_1035_+,KJ925529.1.1677 Eukaryota;Cryptophyceae;Kathablepharidae;uncultured eukaryote,0.1502,POTENTIALLY NOVEL,MH899067.1.1633 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Tumeochrysa sp. Tumeo,0.1484
contig_10329_1_413_-,KJ925529.1.1677 Eukaryota;Cryptophyceae;Kathablepharidae;uncultured eukaryote,0.1415,Known,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.1381
contig_103395_1_1434_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1246,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1222
contig_103445_305_1183_-,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1231,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.12
contig_103467_1_999_+,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1438,Known,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.1419
contig_103506_126_479_+,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1357,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1352
contig_103513_1_978_+,KJ925529.1.1677 Eukaryota;Cryptophyceae;Kathablepharidae;uncultured eukaryote,0.1635,POTENTIALLY NOVEL,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.1584
contig_103554_2309_2977_-,KJ925529.1.1677 Eukaryota;Cryptophyceae;Kathablepharidae;uncultured eukaryote,0.1565,POTENTIALLY NOVEL,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.1521
contig_103557_41_1542_+,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1261,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1237
contig_103579_175_716_-,KJ925529.1.1677 Eukaryota;Cryptophyceae;Kathablepharidae;uncultured eukaryote,0.149,Known,MH899067.1.1633 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Tumeochrysa sp. Tumeo,0.1467
contig_103697_101_1183_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1331,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1308
contig_103704_53_1473_+,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1575,POTENTIALLY NOVEL,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.155
contig_103714_1_802_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1266,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1239
contig_103731_1074_2540_+,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1224,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1205
contig_103731_1_1035_+,KJ925529.1.1677 Eukaryota;Cryptophyceae;Kathablepharidae;uncultured eukaryote,0.1409,Known,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.1382
contig_103750_1980_3961_-,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1434,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1424
contig_103800_45_686_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1374,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1363
contig_103834_1_1336_+,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1378,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.137
contig_103860_948_1604_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1189,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1157
contig_103884_262_2763_-,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1331,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1317
contig_103886_349_849_-,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1326,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1312
contig_103891_37_504_+,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1328,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1313
contig_103895_1_554_+,KJ925529.1.1677 Eukaryota;Cryptophyceae;Kathablepharidae;uncultured eukaryote,0.1389,Known,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.1369
contig_103896_1904_6013_-,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.128,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1272
contig_103916_1287_1595_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.141,Known,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.1397
contig_103932_43_831_+,AF250081.1.1850 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Eudiagogus rosenschoeldi,0.1117,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1099
contig_103935_1177_1581_+,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1231,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1213
contig_103974_1_3019_-,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1406,Known,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.1397
contig_103986_1_1007_+,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1485,Known,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.146
contig_104016_1_513_+,AF250081.1.1850 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Eudiagogus rosenschoeldi,0.1175,Known,AF503564.1.1372 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Cenococcum;fungal endophyte MUT 769,0.1162
contig_104038_1_478_+,AF282915.1.1725 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Lichinomycetes;Lichinales;Lichinaceae;Thyrea;Thyrea confusa,0.1114,Known,AF503564.1.1372 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Cenococcum;fungal endophyte MUT 769,0.1091
contig_104063_54_878_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1276,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1242
contig_104071_632_1090_-,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1658,POTENTIALLY NOVEL,MH017637.1.1587 Eukaryota;SAR;Stramenopiles;Ochrophyta;Diatomea;Bacillariophytina;Bacillariophyceae;Diploneis;Diploneis sp.,0.165
contig_104074_1_307_+,AF250081.1.1850 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Eudiagogus rosenschoeldi,0.1158,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1147
contig_104096_1_753_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1199,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1163
contig_104120_1_1023_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1209,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1176
contig_104133_38_1003_-,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1475,Known,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.1461
contig_104161_1_1918_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1242,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.121
contig_104200_1634_1945_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1321,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1297
contig_104200_19_1523_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1357,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1334
contig_104200_2188_2715_-,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1491,Known,MH017637.1.1587 Eukaryota;SAR;Stramenopiles;Ochrophyta;Diatomea;Bacillariophytina;Bacillariophyceae;Diploneis;Diploneis sp.,0.1484
contig_104223_1934_2638_-,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1386,Known,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.1378
contig_104223_346_1892_-,KJ925529.1.1677 Eukaryota;Cryptophyceae;Kathablepharidae;uncultured eukaryote,0.1718,POTENTIALLY NOVEL,KP864096.1.1850 Eukaryota;Amorphea;Amoebozoa;Incertae Sedis;Dictyamoeba;Dictyamoeba vorax,0.1674
contig_104302_153_743_-,KJ925529.1.1677 Eukaryota;Cryptophyceae;Kathablepharidae;uncultured eukaryote,0.15,Known,MH899067.1.1633 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Tumeochrysa sp. Tumeo,0.1478
contig_104307_224_922_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1344,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.133
contig_104312_1_802_+,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1489,Known,MH017637.1.1587 Eukaryota;SAR;Stramenopiles;Ochrophyta;Diatomea;Bacillariophytina;Bacillariophyceae;Diploneis;Diploneis sp.,0.148
contig_104330_278_706_-,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1108,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1079
contig_104338_55_837_+,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.1428,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1419
contig_104357_224_994_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1173,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1141
contig_104362_284_868_-,KJ925529.1.1677 Eukaryota;Cryptophyceae;Kathablepharidae;uncultured eukaryote,0.1668,POTENTIALLY NOVEL,AY325025.1.1932 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Diptera;Obelophorus landbecki,0.1647
contig_104378_897_1389_-,LC186961.1.1755 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Solemyoida;Acharax sp. AJO1-1,0.1135,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1102
contig_104393_1_899_+,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.125,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.124
contig_104404_35_773_-,AF250081.1.1850 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Eudiagogus rosenschoeldi,0.1174,Known,AY382464.1.1451 Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Incertae Sedis;uncultured fungus,0.1152
contig_104453_184_795_-,AF250064.1.1828 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Coleoptera;Attelabus analis,0.143,Known,MH899067.1.1633 Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Tumeochrysa sp. Tumeo,0.1405
